Region,Casos totales acumulados,Fallecidos confirmados totales,Fallecidos sospechosos probables u otros totales,Fallecidos totales,Casos confirmados recuperados,Casos confirmados por antigeno,Casos con sospecha de reinfeccion,Casos probables acumulados,Casos activos probables,Casos nuevos totales,Casos nuevos con sintomas,Casos nuevos sin sintomas*,Casos nuevos reportados por laboratorio,Casos nuevos confirmados por antigeno,Casos activos confirmados
Arica y Parinacota,73269,720,144,864,72102,21208,1171,3441,0,23,14,8,1,17,73
Tarapacá,103965,1028,119,1147,102476,22352,637,10391,0,24,19,3,2,16,103
Antofagasta,168388,1600,298,1898,165839,25897,1576,6824,0,69,50,9,10,34,275
Atacama,103808,568,117,685,102698,40422,891,1743,0,63,31,9,23,57,250
Coquimbo,191122,1558,298,1856,188509,49812,1177,9390,1,88,78,10,0,48,339
Valparaíso,443164,4926,1228,6154,434924,114790,2113,50206,0,286,235,2,49,210,1089
Metropolitana,1809257,23709,6175,29884,1771133,320298,19363,161589,2,1040,630,30,380,610,4598
O’Higgins,203022,2133,576,2709,199492,58341,996,14801,1,80,53,12,15,28,390
Maule,320630,2661,505,3166,315888,94892,3896,10644,0,122,66,21,35,54,646
Ñuble,140650,1022,195,1217,138406,44178,967,10184,1,172,83,5,84,76,534
Biobío,470856,3913,687,4600,463537,100276,2626,35894,0,292,183,23,86,179,1305
Araucanía,274545,2179,577,2756,270394,49042,3721,11318,0,110,60,7,43,46,544
Los Ríos,135159,1101,232,1333,132944,35997,1138,6035,0,92,84,2,6,73,359
Los Lagos,228986,2079,375,2454,225464,33240,3755,16332,0,38,25,4,9,20,220
Aysén,32569,175,27,202,32182,11766,1403,1794,0,19,8,3,8,15,76
Magallanes,63341,645,105,750,62252,9441,1998,3291,0,21,20,0,1,15,78
Se desconoce región de origen,42,0,2,2,41,0,0,0,0,0,0,0,0,0,0
Total,4762773,50017,11660,61677,4678281,1031952,47428,353877,5,2539,1639,148,752,1498,10879
