Region,Casos totales acumulados,Fallecidos confirmados totales,Fallecidos sospechosos probables u otros totales,Fallecidos totales,Casos confirmados recuperados,Casos confirmados por antigeno,Casos con sospecha de reinfeccion,Casos probables acumulados,Casos activos probables,Casos nuevos totales,Casos nuevos con sintomas,Casos nuevos sin sintomas*,Casos nuevos reportados por laboratorio,Casos nuevos confirmados por antigeno,Casos activos confirmados
Arica y Parinacota,79485,751,147,898,78180,25059,1362,3439,0,7,6,0,1,7,43
Tarapacá,113185,1053,119,1172,111608,28920,841,10389,0,25,12,10,3,12,60
Antofagasta,182514,1656,301,1957,179840,31957,2192,6818,0,24,17,0,7,16,105
Atacama,116095,596,121,717,114952,50139,1484,1741,0,26,17,4,5,20,111
Coquimbo,209772,1640,302,1942,206997,61890,1949,9402,0,41,30,4,7,30,123
Valparaíso,488423,5213,1234,6447,479660,142992,3123,50212,0,151,113,4,34,117,441
Metropolitana,1949989,24601,6208,30809,1910620,388573,26648,161605,1,529,368,22,139,348,1684
O’Higgins,219731,2243,577,2820,215916,68526,1402,14800,0,63,49,0,14,43,201
Maule,344502,2829,509,3338,339385,107991,4482,10643,0,57,34,3,20,29,215
Ñuble,156954,1120,201,1321,154709,53650,1647,10181,0,30,25,0,5,26,138
Biobío,506734,4113,695,4808,499178,120025,3997,35895,1,147,102,2,43,114,499
Araucanía,291866,2326,583,2909,287373,56102,4267,11318,0,77,55,2,20,58,206
Los Ríos,146825,1168,235,1403,144465,44724,1705,6034,0,40,26,2,12,34,144
Los Lagos,241229,2187,379,2566,237235,37962,4247,16328,0,58,23,5,30,24,177
Aysén,35970,193,27,220,35566,13953,2191,1794,0,10,6,1,3,4,27
Magallanes,67310,667,106,773,66116,11490,2711,3289,0,12,5,1,6,5,32
Se desconoce región de origen,42,0,2,2,41,0,0,0,0,0,0,0,0,0,0
Total,5150626,52356,11746,64102,5061841,1243953,64248,353888,2,1297,888,60,349,887,4206
