Region,Casos totales acumulados,Fallecidos confirmados totales,Fallecidos sospechosos probables u otros totales,Fallecidos totales,Casos confirmados recuperados,Casos confirmados por antigeno,Casos con sospecha de reinfeccion,Casos probables acumulados,Casos activos probables,Casos nuevos totales,Casos nuevos con sintomas,Casos nuevos sin sintomas*,Casos nuevos reportados por laboratorio,Casos nuevos confirmados por antigeno,Casos activos confirmados
Arica y Parinacota,60882,676,141,817,58889,14647,672,3440,0,201,104,85,12,128,1065
Tarapacá,85369,976,118,1094,83011,12406,402,10395,0,281,128,106,47,143,1150
Antofagasta,138681,1497,287,1784,134509,15301,946,6821,1,549,220,182,147,178,2212
Atacama,81118,494,115,609,78138,25694,452,1745,0,447,179,98,170,353,2328
Coquimbo,153630,1428,293,1721,148765,32384,623,9388,0,683,387,231,65,318,3025
Valparaíso,376319,4577,1219,5796,366140,85414,1407,50207,0,922,540,115,267,379,4287
Metropolitana,1603768,22735,6119,28854,1562401,256036,13586,161547,6,2715,1421,332,962,750,12085
O’Higgins,172638,2010,568,2578,168132,43189,678,14803,0,428,258,103,67,207,1858
Maule,265208,2477,499,2976,259914,72365,1513,10644,1,471,345,79,47,157,1941
Ñuble,113086,934,192,1126,110573,30606,534,10183,1,277,189,19,69,143,1181
Biobío,392829,3669,680,4349,383834,69533,1653,35902,3,927,467,235,225,332,3992
Araucanía,230938,2028,572,2600,226344,38198,1251,11313,0,477,263,40,174,135,1650
Los Ríos,113728,1004,228,1232,111430,24362,691,6034,0,198,95,19,84,82,823
Los Lagos,203875,1973,373,2346,199974,26372,2920,16326,0,288,172,59,57,73,1100
Aysén,27259,160,27,187,26737,8750,866,1795,0,51,29,8,14,31,272
Magallanes,56162,612,104,716,54714,6779,1405,3292,0,159,97,9,53,49,596
Se desconoce región de origen,43,0,2,2,42,0,0,0,0,0,0,0,0,0,0
Total,4075533,47250,11537,58787,3973547,762036,29599,353835,12,9074,4894,1720,2460,3458,39565
