Region,Casos totales acumulados,Fallecidos confirmados totales,Fallecidos sospechosos probables u otros totales,Fallecidos totales,Casos confirmados recuperados,Casos confirmados por antigeno,Casos con sospecha de reinfeccion,Casos probables acumulados,Casos activos probables,Casos nuevos totales,Casos nuevos con sintomas,Casos nuevos sin sintomas*,Casos nuevos reportados por laboratorio,Casos nuevos confirmados por antigeno,Casos activos confirmados
Arica y Parinacota,80186,734,113,847,78804,25552,1414,3439,0,2,2,0,0,2,6
Tarapacá,114620,1038,99,1137,112986,29984,929,10389,0,7,5,0,2,6,21
Antofagasta,186273,1651,189,1840,183530,34084,2453,6818,0,0,0,0,0,0,7
Atacama,120606,594,98,692,119417,53831,1936,1741,0,10,6,2,2,6,48
Coquimbo,214142,1641,240,1881,211193,65483,2372,9401,0,10,8,0,2,8,31
Valparaíso,504076,5231,1012,6243,494960,154586,3737,50207,0,28,17,3,8,17,79
Metropolitana,2005072,24767,4541,29308,1964740,421685,31440,161605,1,56,39,3,14,34,200
O’Higgins,227066,2256,433,2689,223144,73872,1682,14808,0,9,5,0,4,4,17
Maule,352319,2822,416,3238,346918,112922,4770,10639,0,8,5,0,3,3,27
Ñuble,162024,1119,160,1279,159652,57862,2069,10179,0,7,6,0,1,6,20
Biobío,519436,4085,566,4651,511727,128161,4863,35887,0,7,5,0,2,5,24
Araucanía,297734,2361,470,2831,292937,59897,4724,11314,0,8,4,0,4,4,21
Los Ríos,150096,1189,209,1398,147639,47554,1908,6033,0,1,1,0,0,0,4
Los Lagos,245521,2209,269,2478,241319,40212,4463,16327,0,0,0,0,0,0,9
Aysén,37320,194,24,218,36903,14883,2668,1794,0,0,0,0,0,0,3
Magallanes,68774,649,57,706,67493,12413,3140,3288,0,1,0,0,1,0,7
Se desconoce región de origen,42,0,1,1,41,0,0,0,0,0,0,0,0,0,0
Total,5285307,52540,8897,61437,5193403,1332981,74568,353869,1,154,103,8,43,95,524
