Region,Casos totales acumulados,Fallecidos confirmados totales,Fallecidos sospechosos probables u otros totales,Fallecidos totales,Casos confirmados recuperados,Casos confirmados por antigeno,Casos con sospecha de reinfeccion,Casos probables acumulados,Casos activos probables,Casos nuevos totales,Casos nuevos con sintomas,Casos nuevos sin sintomas*,Casos nuevos reportados por laboratorio,Casos nuevos confirmados por antigeno,Casos activos confirmados
Arica y Parinacota,80090,731,113,844,78743,25478,1402,3439,0,4,3,0,1,4,13
Tarapacá,114320,1034,99,1133,112702,29763,920,10389,0,37,34,1,2,32,47
Antofagasta,186042,1648,189,1837,183308,33957,2431,6818,0,33,17,2,14,15,58
Atacama,119981,588,98,686,118744,53339,1866,1741,0,87,58,13,16,77,137
Coquimbo,213574,1627,240,1867,210684,65047,2217,9399,0,39,33,2,4,32,73
Valparaíso,502825,5180,1011,6191,493850,153714,3677,50204,0,123,77,5,41,98,211
Metropolitana,2001147,24667,4538,29205,1961045,419529,30968,161598,3,417,281,29,107,272,768
O’Higgins,226601,2245,432,2677,222715,73579,1659,14808,0,56,39,8,9,40,96
Maule,351843,2806,414,3220,346501,112703,4742,10636,0,65,39,7,19,42,127
Ñuble,161634,1114,160,1274,159295,57534,2035,10179,0,43,35,1,7,38,68
Biobío,518719,4070,565,4635,511072,127743,4801,35888,0,100,55,4,41,53,191
Araucanía,297377,2344,469,2813,292725,59718,4688,11314,0,27,14,3,10,17,60
Los Ríos,150034,1183,209,1392,147642,47504,1901,6033,0,17,13,0,4,16,23
Los Lagos,245391,2205,268,2473,241296,40168,4452,16327,0,22,12,2,8,10,33
Aysén,37285,193,24,217,36874,14858,2657,1794,0,6,2,0,4,4,9
Magallanes,68675,646,57,703,67431,12346,3113,3288,0,8,6,0,2,5,16
Se desconoce región de origen,42,0,1,1,41,0,0,0,0,0,0,0,0,0,0
Total,5275580,52281,8887,61168,5184668,1326980,73529,353855,3,1084,718,77,289,755,1930
