Region,Casos totales acumulados,Fallecidos confirmados totales,Fallecidos sospechosos probables u otros totales,Fallecidos totales,Casos confirmados recuperados,Casos confirmados por antigeno,Casos con sospecha de reinfeccion,Casos probables acumulados,Casos activos probables,Casos nuevos totales,Casos nuevos con sintomas,Casos nuevos sin sintomas*,Casos nuevos reportados por laboratorio,Casos nuevos confirmados por antigeno,Casos activos confirmados
Arica y Parinacota,55498,672,140,812,54547,11739,498,3439,0,18,16,2,0,16,88
Tarapacá,79705,968,118,1086,78478,9787,325,10393,0,34,14,12,8,15,100
Antofagasta,123175,1475,286,1761,121100,10402,661,6822,0,103,35,55,13,55,252
Atacama,66190,472,113,585,65440,16210,272,1748,0,40,17,12,11,24,177
Coquimbo,127087,1380,289,1669,125097,20197,443,9380,0,82,61,10,11,50,310
Valparaíso,308054,4390,1201,5591,301784,60315,960,50209,1,337,196,29,112,161,978
Metropolitana,1366963,22209,6062,28271,1335641,195736,9556,161558,5,1138,697,78,363,436,4196
O’Higgins,150393,1956,562,2518,147716,32253,494,14802,0,76,58,13,5,48,276
Maule,239976,2414,498,2912,236585,61937,775,10641,1,106,90,4,12,61,405
Ñuble,100524,917,189,1106,99154,24451,396,10180,1,59,43,4,12,35,194
Biobío,353906,3602,675,4277,348795,57542,1245,35905,3,149,82,21,46,60,607
Araucanía,216260,1999,570,2569,213388,34892,1013,11318,0,61,28,3,30,20,240
Los Ríos,106131,994,228,1222,104724,21192,539,6035,0,23,18,2,3,18,101
Los Lagos,195374,1945,367,2312,192740,24421,2685,16329,1,31,23,2,6,4,115
Aysén,25049,157,27,184,24775,7510,683,1795,0,17,14,3,0,10,51
Magallanes,51855,600,103,703,50947,5318,1177,3294,0,28,22,0,6,10,126
Se desconoce región de origen,43,0,2,2,42,0,0,0,0,0,0,0,0,0,0
Total,3566183,46150,11430,57580,3500953,593902,21722,353848,12,2302,1414,250,638,1023,8216
