Region,Casos totales acumulados,Fallecidos confirmados totales,Fallecidos sospechosos probables u otros totales,Fallecidos totales,Casos confirmados recuperados,Casos confirmados por antigeno,Casos con sospecha de reinfeccion,Casos probables acumulados,Casos activos probables,Casos nuevos totales,Casos nuevos con sintomas,Casos nuevos sin sintomas*,Casos nuevos reportados por laboratorio,Casos nuevos confirmados por antigeno,Casos activos confirmados
Arica y Parinacota,71846,710,144,854,70581,20467,1119,3441,0,40,26,12,2,26,233
Tarapacá,101965,1012,119,1131,100267,21344,595,10392,1,78,44,26,8,38,391
Antofagasta,163969,1572,296,1868,161210,24358,1435,6821,1,136,48,49,39,31,621
Atacama,100040,553,117,670,98595,37697,782,1745,0,132,58,47,27,94,658
Coquimbo,184292,1523,297,1820,181192,46356,1030,9392,0,236,148,66,22,101,1007
Valparaíso,422571,4820,1224,6044,413888,104430,1871,50202,1,521,276,51,194,201,2050
Metropolitana,1729093,23364,6162,29526,1691045,290811,16728,161578,7,1580,892,191,497,449,6296
O’Higgins,194507,2092,573,2665,190706,54518,915,14799,0,195,130,32,33,81,868
Maule,303682,2592,504,3096,298107,87953,3197,10645,1,515,384,40,91,174,1799
Ñuble,130986,993,194,1187,128613,39422,780,10182,1,241,126,23,92,81,837
Biobío,444522,3811,685,4496,436278,88865,2271,35905,1,595,320,133,142,223,2703
Araucanía,261770,2128,576,2704,257324,45710,1895,11312,0,332,163,99,70,56,1135
Los Ríos,129403,1072,231,1303,127132,32508,990,6034,0,155,67,23,65,59,599
Los Lagos,223682,2041,374,2415,219828,31614,3535,16334,2,251,147,46,58,58,771
Aysén,31223,169,27,196,30844,10992,1265,1794,0,27,14,3,10,19,103
Magallanes,61660,640,104,744,60543,8678,1853,3290,0,33,20,2,11,12,169
Se desconoce región de origen,42,0,2,2,41,0,0,0,0,0,0,0,0,0,0
Total,4555253,49092,11629,60721,4466194,945723,40261,353866,15,5067,2863,843,1361,1703,20240
