Region,Casos totales acumulados,Fallecidos confirmados totales,Fallecidos sospechosos probables u otros totales,Fallecidos totales,Casos confirmados recuperados,Casos confirmados por antigeno,Casos con sospecha de reinfeccion,Casos probables acumulados,Casos activos probables,Casos nuevos totales,Casos nuevos con sintomas,Casos nuevos sin sintomas*,Casos nuevos reportados por laboratorio,Casos nuevos confirmados por antigeno,Casos activos confirmados
Arica y Parinacota,80177,733,113,846,78811,25544,1412,3439,0,0,0,0,0,0,1
Tarapacá,114590,1036,99,1135,112976,29962,927,10389,0,3,2,0,1,3,14
Antofagasta,186263,1650,189,1839,183529,34081,2451,6818,0,5,2,0,3,1,12
Atacama,120541,594,98,692,119378,53788,1928,1741,0,7,6,0,1,5,33
Coquimbo,214058,1638,240,1878,211150,65414,2340,9402,0,6,3,0,3,5,18
Valparaíso,503959,5227,1012,6239,494937,154508,3732,50208,0,20,15,1,4,16,57
Metropolitana,2004774,24762,4540,29302,1964717,421526,31397,161605,1,40,24,4,12,27,134
O’Higgins,227039,2256,433,2689,223135,73857,1679,14808,0,9,7,0,2,3,22
Maule,352281,2819,416,3235,346918,112910,4768,10639,1,5,5,0,0,5,21
Ñuble,161998,1117,160,1277,159658,57841,2068,10179,0,7,7,0,0,7,17
Biobío,519394,4082,566,4648,511737,128135,4857,35887,0,11,6,0,5,8,26
Araucanía,297703,2360,470,2830,292964,59885,4717,11314,0,2,0,0,2,1,8
Los Ríos,150088,1187,209,1396,147648,47549,1906,6033,0,1,0,0,1,1,2
Los Lagos,245506,2208,269,2477,241344,40208,4459,16328,0,2,1,0,1,1,4
Aysén,37316,194,24,218,36907,14879,2668,1794,0,0,0,0,0,0,2
Magallanes,68759,649,57,706,67493,12404,3137,3288,0,1,1,0,0,1,3
Se desconoce región de origen,42,0,1,1,41,0,0,0,0,0,0,0,0,0,0
Total,5284488,52512,8896,61408,5193343,1332491,74446,353872,2,119,79,5,35,84,374
