Region,Casos totales acumulados,Fallecidos confirmados totales,Fallecidos sospechosos probables u otros totales,Fallecidos totales,Casos confirmados recuperados,Casos confirmados por antigeno,Casos con sospecha de reinfeccion,Casos probables acumulados,Casos activos probables,Casos nuevos totales,Casos nuevos con sintomas,Casos nuevos sin sintomas*,Casos nuevos reportados por laboratorio,Casos nuevos confirmados por antigeno,Casos activos confirmados
Arica y Parinacota,78077,735,144,879,76338,24114,1306,3440,0,169,106,53,10,112,555
Tarapacá,110805,1037,119,1156,108629,27243,771,10390,0,220,138,23,59,174,730
Antofagasta,178406,1622,299,1921,175210,29973,1982,6822,0,249,144,25,80,120,776
Atacama,111657,579,120,699,110071,46526,1201,1740,0,182,85,38,59,147,626
Coquimbo,203483,1608,299,1907,200260,57475,1645,9398,0,312,243,38,31,193,741
Valparaíso,475105,5107,1232,6339,465817,133701,2735,50208,0,587,421,25,141,408,1485
Metropolitana,1905934,24261,6193,30454,1864713,364449,23445,161609,1,2114,1207,148,759,1002,5319
O’Higgins,214873,2212,577,2789,210909,65352,1210,14801,0,210,130,31,49,147,549
Maule,337498,2766,507,3273,332142,103806,4243,10646,1,302,166,54,82,145,813
Ñuble,152644,1087,197,1284,150272,50464,1354,10180,0,169,104,2,63,101,434
Biobío,494877,4036,690,4726,486936,112356,3249,35894,0,468,249,69,150,257,1343
Araucanía,286060,2268,580,2848,281580,52902,4010,11318,0,218,105,27,86,92,488
Los Ríos,143559,1146,232,1378,141110,41984,1488,6034,0,148,98,14,36,108,385
Los Lagos,237959,2139,376,2515,233935,36627,4060,16330,1,151,61,19,71,61,432
Aysén,34966,184,27,211,34556,13298,1892,1794,0,19,13,1,5,12,63
Magallanes,66407,662,106,768,65160,10959,2515,3288,0,49,34,4,11,28,147
Se desconoce región de origen,42,0,2,2,41,0,0,0,0,0,0,0,0,0,0
Total,5032352,51449,11700,63149,4937679,1171229,57106,353892,3,5567,3304,571,1692,3107,14886
