Region,Casos totales acumulados,Fallecidos confirmados totales,Fallecidos sospechosos probables u otros totales,Fallecidos totales,Casos confirmados recuperados,Casos confirmados por antigeno,Casos con sospecha de reinfeccion,Casos probables acumulados,Casos activos probables,Casos nuevos totales,Casos nuevos con sintomas,Casos nuevos sin sintomas*,Casos nuevos reportados por laboratorio,Casos nuevos confirmados por antigeno,Casos activos confirmados
Arica y Parinacota,56499,672,140,812,55403,12308,539,3440,0,35,23,9,3,25,201
Tarapacá,80906,973,118,1091,79462,10190,336,10395,0,53,28,12,13,24,283
Antofagasta,127191,1485,287,1772,124378,11648,743,6823,0,251,77,126,48,118,926
Atacama,68837,479,113,592,67508,17833,308,1745,0,192,80,48,64,123,732
Coquimbo,132609,1391,291,1682,129515,22868,475,9384,0,319,194,78,47,154,1349
Valparaíso,330102,4442,1210,5652,319874,68688,1090,50220,4,1243,655,132,456,447,4690
Metropolitana,1466026,22348,6084,28432,1419044,220775,11089,161576,12,4286,2531,514,1241,1256,19018
O’Higgins,156732,1966,563,2529,152835,35152,541,14807,1,353,234,73,46,174,1387
Maule,248537,2438,499,2937,243763,65665,1020,10641,1,471,354,54,63,215,1617
Ñuble,104309,928,191,1119,102384,26329,436,10179,0,141,93,13,35,110,669
Biobío,364232,3624,676,4300,357304,60464,1335,35901,1,565,264,120,181,160,2189
Araucanía,219968,2016,570,2586,216698,35690,1089,11312,0,178,90,14,74,47,485
Los Ríos,107807,1000,228,1228,105993,21962,566,6035,0,90,46,10,34,41,430
Los Lagos,197228,1958,372,2330,194223,24805,2790,16325,0,95,55,13,27,16,348
Aysén,25452,158,27,185,25146,7755,718,1796,0,19,11,6,2,10,68
Magallanes,53318,603,103,706,52218,5863,1259,3293,0,73,44,1,28,15,288
Se desconoce región de origen,43,0,2,2,42,0,0,0,0,0,0,0,0,0,0
Total,3739796,46481,11474,57955,3645790,647995,24334,353872,19,8364,4779,1223,2362,2935,34680
