Region,Casos totales acumulados,Fallecidos confirmados totales,Fallecidos sospechosos probables u otros totales,Fallecidos totales,Casos confirmados recuperados,Casos confirmados por antigeno,Casos con sospecha de reinfeccion,Casos probables acumulados,Casos activos probables,Casos nuevos totales,Casos nuevos con sintomas,Casos nuevos sin sintomas*,Casos nuevos reportados por laboratorio,Casos nuevos confirmados por antigeno,Casos activos confirmados
Arica y Parinacota,72503,718,144,862,71326,20804,1147,3441,0,7,6,0,1,6,108
Tarapacá,102846,1022,119,1141,101371,21749,607,10391,0,15,7,7,1,8,132
Antofagasta,165802,1590,297,1887,163257,24948,1503,6822,0,37,25,7,5,15,333
Atacama,101603,562,117,679,100548,38782,815,1745,0,31,25,1,5,21,225
Coquimbo,187383,1540,298,1838,184765,47826,1070,9390,0,56,47,6,3,30,433
Valparaíso,430983,4880,1225,6105,422991,108564,1947,50205,2,148,116,3,29,99,1103
Metropolitana,1756924,23523,6167,29690,1719493,299587,17641,161585,2,717,398,58,261,315,4796
O’Higgins,198300,2117,573,2690,194685,56097,955,14799,0,85,50,2,33,32,578
Maule,311120,2634,504,3138,306180,90757,3611,10644,2,158,112,37,9,53,1003
Ñuble,134794,1007,194,1201,132627,41192,828,10182,0,98,79,6,13,47,555
Biobío,454780,3871,685,4556,447378,92937,2410,35903,1,211,155,20,36,110,1633
Araucanía,266316,2158,576,2734,262297,46792,2028,11309,1,74,44,1,29,29,557
Los Ríos,131580,1088,231,1319,129485,33716,1045,6035,0,61,55,1,5,47,334
Los Lagos,225983,2062,374,2436,222498,32258,3627,16331,0,24,13,5,6,10,297
Aysén,31701,173,27,200,31342,11287,1332,1794,0,15,8,0,7,14,65
Magallanes,62229,644,105,749,61173,8940,1899,3291,0,5,5,0,0,2,79
Se desconoce región de origen,42,0,2,2,41,0,0,0,0,0,0,0,0,0,0
Total,4634889,49589,11638,61227,4551457,976236,42465,353867,8,1742,1145,154,443,838,12231
