Region,Casos totales acumulados,Fallecidos confirmados totales,Fallecidos sospechosos probables u otros totales,Fallecidos totales,Casos confirmados recuperados,Casos confirmados por antigeno,Casos con sospecha de reinfeccion,Casos probables acumulados,Casos activos probables,Casos nuevos totales,Casos nuevos con sintomas,Casos nuevos sin sintomas*,Casos nuevos reportados por laboratorio,Casos nuevos confirmados por antigeno,Casos activos confirmados
Arica y Parinacota,56926,673,140,813,55770,12477,548,3440,0,58,23,30,5,24,255
Tarapacá,81394,974,118,1092,79921,10375,339,10395,0,51,15,30,6,24,304
Antofagasta,129028,1489,287,1776,125899,12175,778,6824,1,241,104,70,67,60,1226
Atacama,71142,481,113,594,69185,19067,325,1746,0,298,119,45,134,160,1348
Coquimbo,136259,1400,292,1692,132072,24571,491,9389,2,595,289,225,81,253,2413
Valparaíso,341293,4465,1213,5678,329097,72695,1156,50217,3,1456,811,151,494,540,6581
Metropolitana,1507150,22411,6088,28499,1455213,231133,11738,161563,6,4400,2454,497,1449,1226,23695
O’Higgins,160113,1971,564,2535,155401,36823,577,14808,1,469,264,117,88,213,2178
Maule,252692,2446,499,2945,247057,67393,1126,10643,1,436,300,66,70,179,2422
Ñuble,106061,928,191,1119,103793,27165,455,10181,1,200,113,23,64,76,996
Biobío,369672,3631,678,4309,361357,62042,1393,35900,1,684,350,154,180,192,3513
Araucanía,221542,2017,571,2588,217835,36060,1110,11312,0,242,112,24,106,39,879
Los Ríos,108760,1001,228,1229,106747,22358,582,6035,0,145,53,19,73,40,597
Los Lagos,198340,1960,372,2332,195111,25018,2796,16326,0,139,65,43,31,21,540
Aysén,25743,159,27,186,25323,7904,732,1795,0,40,23,14,3,13,179
Magallanes,53851,603,103,706,52706,6044,1286,3293,0,75,49,4,22,19,325
Se desconoce región de origen,43,0,2,2,42,0,0,0,0,0,0,0,0,0,0
Total,3820009,46609,11486,58095,3712529,673300,25432,353867,16,9529,5144,1512,2873,3079,47451
