Region,Casos totales acumulados,Fallecidos confirmados totales,Fallecidos sospechosos probables u otros totales,Fallecidos totales,Casos confirmados recuperados,Casos confirmados por antigeno,Casos con sospecha de reinfeccion,Casos probables acumulados,Casos activos probables,Casos nuevos totales,Casos nuevos con sintomas,Casos nuevos sin sintomas*,Casos nuevos reportados por laboratorio,Casos nuevos confirmados por antigeno,Casos activos confirmados
Arica y Parinacota,76420,730,144,874,74882,23051,1271,3440,0,103,71,31,1,65,371
Tarapacá,108169,1036,119,1155,106181,25285,729,10390,0,164,86,34,44,106,553
Antofagasta,175793,1620,299,1919,172808,28857,1852,6823,1,169,80,14,75,63,596
Atacama,109690,576,117,693,108331,44930,1114,1740,0,106,57,13,36,86,421
Coquimbo,200726,1596,298,1894,197764,55610,1498,9396,0,181,131,25,25,119,528
Valparaíso,469996,5076,1232,6308,461219,130262,2581,50203,0,353,229,29,95,221,1108
Metropolitana,1886981,24160,6189,30349,1847892,355201,22347,161599,2,1224,663,104,457,607,3662
O’Higgins,212801,2194,576,2770,208905,64020,1158,14802,0,132,82,11,39,69,546
Maule,334902,2751,507,3258,329717,102304,4163,10645,0,217,125,32,60,122,702
Ñuble,151087,1072,197,1269,148821,49573,1268,10182,0,136,75,7,54,80,368
Biobío,490124,4007,689,4696,482661,109576,2996,35892,0,331,173,43,115,178,1000
Araucanía,284114,2250,580,2830,279753,52079,3943,11318,0,140,53,20,67,52,447
Los Ríos,142097,1131,232,1363,139666,40835,1414,6034,0,120,78,15,27,94,424
Los Lagos,236294,2121,376,2497,232272,35970,3996,16329,0,154,65,25,64,53,484
Aysén,34644,183,27,210,34195,13100,1817,1794,0,29,13,5,11,16,109
Magallanes,65753,657,106,763,64512,10605,2349,3289,1,54,32,2,20,28,162
Se desconoce región de origen,42,0,2,2,41,0,0,0,0,0,0,0,0,0,0
Total,4979633,51160,11690,62850,4889620,1141258,54496,353876,4,3613,2013,410,1190,1959,11481
