Region,Casos totales acumulados,Fallecidos confirmados totales,Fallecidos sospechosos probables u otros totales,Fallecidos totales,Casos confirmados recuperados,Casos confirmados por antigeno,Casos con sospecha de reinfeccion,Casos probables acumulados,Casos activos probables,Casos nuevos totales,Casos nuevos con sintomas,Casos nuevos sin sintomas*,Casos nuevos reportados por laboratorio,Casos nuevos confirmados por antigeno,Casos activos confirmados
Arica y Parinacota,72687,719,144,863,71472,20915,1156,3441,0,18,13,5,0,15,137
Tarapacá,103052,1026,119,1145,101576,21858,613,10391,0,22,18,0,4,18,116
Antofagasta,166242,1592,298,1890,163726,25108,1514,6822,0,33,26,4,3,14,288
Atacama,102004,564,117,681,100880,39057,831,1745,0,45,29,13,3,32,288
Coquimbo,188100,1543,298,1841,185474,48203,1080,9390,0,59,48,9,2,31,421
Valparaíso,433119,4891,1225,6116,424967,109630,1974,50205,2,172,122,13,37,114,1194
Metropolitana,1765920,23581,6169,29750,1727802,302832,17980,161581,3,709,513,34,162,375,5171
O’Higgins,199252,2119,574,2693,195601,56491,965,14799,0,72,58,6,8,37,586
Maule,312897,2641,504,3145,307915,91469,3682,10645,0,137,103,13,21,75,1001
Ñuble,135851,1008,194,1202,133619,41762,849,10182,0,85,69,4,12,50,598
Biobío,457439,3880,685,4565,449934,94090,2453,35897,0,225,179,18,28,127,1671
Araucanía,267491,2161,576,2737,263347,47143,2064,11308,0,74,24,10,40,18,650
Los Ríos,132096,1091,231,1322,130039,34011,1054,6034,0,36,20,4,12,24,275
Los Lagos,226475,2069,374,2443,222992,32428,3644,16330,0,23,12,7,4,6,263
Aysén,31776,174,27,201,31431,11333,1339,1794,0,3,1,0,2,3,46
Magallanes,62399,644,105,749,61324,9027,1911,3291,0,14,11,0,3,8,94
Se desconoce región de origen,42,0,2,2,41,0,0,0,0,0,0,0,0,0,0
Total,4656842,49703,11642,61345,4572140,985357,43109,353855,5,1727,1246,140,341,947,12799
