Region,Casos totales acumulados,Fallecidos confirmados totales,Fallecidos sospechosos probables u otros totales,Fallecidos totales,Casos confirmados recuperados,Casos confirmados por antigeno,Casos con sospecha de reinfeccion,Casos probables acumulados,Casos activos probables,Casos nuevos totales,Casos nuevos con sintomas,Casos nuevos sin sintomas*,Casos nuevos reportados por laboratorio,Casos nuevos confirmados por antigeno,Casos activos confirmados
Arica y Parinacota,67968,692,142,834,65728,18477,973,3441,0,331,170,115,46,196,1266
Tarapacá,95701,990,118,1108,92506,18100,545,10395,0,494,245,99,150,302,1949
Antofagasta,155477,1538,292,1830,150993,21482,1241,6822,1,614,283,142,189,254,2435
Atacama,93321,533,116,649,91015,33427,640,1745,0,359,166,77,116,293,1586
Coquimbo,171635,1476,297,1773,167087,40841,840,9391,2,687,476,167,44,444,2577
Valparaíso,402023,4729,1222,5951,392076,95989,1676,50204,0,1111,675,60,376,551,3656
Metropolitana,1670261,23116,6146,29262,1630453,273801,15170,161561,8,2479,1452,197,830,993,9214
O’Higgins,184466,2050,572,2622,179738,49838,796,14803,3,564,395,111,58,415,1942
Maule,282223,2529,504,3033,275624,79638,2182,10640,0,861,729,69,63,545,3048
Ñuble,121585,967,194,1161,118628,35040,658,10182,0,512,346,55,111,327,1524
Biobío,418075,3734,684,4418,408208,78921,1980,35909,3,1239,761,179,299,569,4599
Araucanía,245461,2067,574,2641,239787,41976,1572,11313,1,685,396,56,233,268,2563
Los Ríos,121354,1036,229,1265,118176,28504,828,6035,0,421,308,27,86,322,1615
Los Lagos,213252,2001,374,2375,208741,29051,3182,16332,1,469,333,58,78,247,1577
Aysén,29290,163,27,190,28659,9844,1033,1796,2,138,94,17,27,109,370
Magallanes,59282,627,104,731,58006,7834,1627,3291,0,127,82,10,35,52,375
Se desconoce región de origen,42,0,2,2,41,0,0,0,0,0,0,0,0,0,0
Total,4331416,48248,11597,59845,4225466,862763,34943,353860,21,11091,6911,1439,2741,5887,40296
