Region,Casos totales acumulados,Fallecidos confirmados totales,Fallecidos sospechosos probables u otros totales,Fallecidos totales,Casos confirmados recuperados,Casos confirmados por antigeno,Casos con sospecha de reinfeccion,Casos probables acumulados,Casos activos probables,Casos nuevos totales,Casos nuevos con sintomas,Casos nuevos sin sintomas*,Casos nuevos reportados por laboratorio,Casos nuevos confirmados por antigeno,Casos activos confirmados
Arica y Parinacota,80132,731,113,844,78777,25507,1405,3439,0,3,3,0,0,2,6
Tarapacá,114432,1035,99,1134,112806,29847,923,10389,0,25,17,2,6,20,44
Antofagasta,186155,1649,189,1838,183422,34028,2441,6818,0,29,18,1,10,13,43
Atacama,120266,591,98,689,119059,53579,1902,1741,0,48,26,8,14,43,96
Coquimbo,213745,1631,240,1871,210861,65171,2232,9400,1,14,13,0,1,14,39
Valparaíso,503393,5203,1011,6214,494356,154093,3701,50205,0,104,65,13,26,66,189
Metropolitana,2003130,24712,4540,29252,1963050,420667,31204,161600,3,189,112,14,63,110,517
O’Higgins,226847,2247,433,2680,222962,73740,1670,14808,0,32,27,1,4,27,61
Maule,352056,2811,415,3226,346736,112811,4760,10637,1,15,8,0,7,6,60
Ñuble,161816,1115,160,1275,159482,57685,2054,10179,0,19,12,1,6,15,51
Biobío,519099,4077,566,4643,511473,127957,4834,35888,0,46,32,0,14,32,105
Araucanía,297564,2354,469,2823,292863,59815,4705,11314,0,23,12,2,9,15,53
Los Ríos,150064,1185,209,1394,147666,47529,1902,6033,0,7,6,0,1,7,8
Los Lagos,245455,2205,269,2474,241343,40185,4455,16329,0,8,4,0,4,3,11
Aysén,37305,193,24,217,36896,14872,2665,1794,0,4,2,1,1,4,7
Magallanes,68722,647,57,704,67473,12375,3129,3288,0,4,2,0,2,2,8
Se desconoce región de origen,42,0,1,1,41,0,0,0,0,0,0,0,0,0,0
Total,5280223,52386,8893,61279,5189266,1329861,73982,353862,5,570,359,43,168,379,1298
