fecha_notificacion;region;prop1d
2020-03-19;01;NA
2020-03-20;01;NA
2020-03-23;01;NA
2020-03-25;01;NA
2020-03-26;01;NA
2020-03-29;01;NA
2020-03-30;01;0
2020-03-31;01;0
2020-04-01;01;0.0714285714285714
2020-04-02;01;0.0714285714285714
2020-04-03;01;0.0714285714285714
2020-04-04;01;0.0714285714285714
2020-04-05;01;0.0714285714285714
2020-04-06;01;0.0714285714285714
2020-04-07;01;0.107142857142857
2020-04-08;01;0.0357142857142857
2020-04-09;01;0.0357142857142857
2020-04-10;01;0.0357142857142857
2020-04-11;01;0.0357142857142857
2020-04-12;01;0.178571428571429
2020-04-13;01;0.178571428571429
2020-04-14;01;0.178571428571429
2020-04-15;01;0.178571428571429
2020-04-16;01;0.178571428571429
2020-04-17;01;0.178571428571429
2020-04-18;01;0.178571428571429
2020-04-19;01;0.0833333333333333
2020-04-20;01;0.183333333333333
2020-04-21;01;0.239455782312925
2020-04-22;01;0.257312925170068
2020-04-23;01;0.275170068027211
2020-04-24;01;0.37407116692831
2020-04-25;01;0.445499738356881
2020-04-26;01;0.493118785975929
2020-04-27;01;0.478833071690215
2020-04-28;01;0.439627915943705
2020-04-29;01;0.436808367071525
2020-04-30;01;0.440929246192404
2020-05-01;01;0.382844473821917
2020-05-02;01;0.394749235726679
2020-05-03;01;0.310093151070595
2020-05-04;01;0.23359545521806
2020-05-05;01;0.211576121168651
2020-05-06;01;0.235000065645227
2020-05-07;01;0.21982476475564
2020-05-08;01;0.188860654973797
2020-05-09;01;0.109991607354749
2020-05-10;01;0.0994095967727383
2020-05-11;01;0.0959072926252729
2020-05-12;01;0.0831521905844566
2020-05-13;01;0.0894667715259032
2020-05-14;01;0.119931131182809
2020-05-15;01;0.153162814660798
2020-05-16;01;0.181966630707765
2020-05-17;01;0.234280514007564
2020-05-18;01;0.285709085436135
2020-05-19;01;0.333425713070796
2020-05-20;01;0.351149593667811
2020-05-21;01;0.334619840111409
2020-05-22;01;0.329129924847058
2020-05-23;01;0.299036426260408
