Region,Codigo region,Comuna,Codigo comuna,Poblacion,202007,202008,202009,202010,202011,202012,202013,202014,202015,202016,202017,202018,202019,202020,202021,202022,202023,202024,202025,202026,202027,202028,202029,202030,202031,202032,202033,202034,202035,202036,202037
Arica y Parinacota,15,Arica,15101,247552.0,0,0.0,1.0,2.0,1.0,2.0,24.0,70.0,68.0,53.0,69.0,51.0,45.0,90.0,148.0,196.0,280.0,273.0,295.0,354.0,445.0,685.0,787.0,764.0,587.0,590.0,450.0,409.0,379.0,226.0,0.0
Arica y Parinacota,15,Camarones,15102,1233.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.0,2.0,4.0,5.0,0.0,1.0,0.0,1.0,0.0,0.0
Arica y Parinacota,15,General Lagos,15202,810.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,15.0,36.0,7.0,2.0,0.0,1.0,0.0
Arica y Parinacota,15,Putre,15201,2515.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,0.0,0.0,7.0,10.0,8.0,1.0,9.0,2.0,1.0,1.0,4.0,4.0,0.0
Arica y Parinacota,15,Desconocido Arica y Parinacota,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,3.0,10.0,2.0,2.0,0.0,1.0,0.0
Arica y Parinacota,15,Total,,252110.0,0.0,0.0,1.0,2.0,1.0,2.0,24.0,70.0,69.0,53.0,69.0,51.0,45.0,90.0,148.0,196.0,281.0,282.0,295.0,354.0,453.0,707.0,800.0,773.0,619.0,638.0,461.0,414.0,384.0,232.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tarapaca,01,Alto Hospicio,01107,129999.0,0,0.0,0.0,0.0,0.0,3.0,5.0,6.0,14.0,25.0,38.0,113.0,141.0,270.0,319.0,318.0,261.0,208.0,160.0,175.0,115.0,107.0,115.0,136.0,178.0,159.0,209.0,142.0,126.0,75.0,0.0
Tarapaca,01,Camina,01402,1375.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,10.0,4.0,2.0,4.0,7.0,3.0,6.0,2.0,2.0,1.0,4.0,10.0,1.0,0.0,0.0,0.0
Tarapaca,01,Colchane,01403,1583.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,10.0,17.0,15.0,16.0,12.0,6.0,3.0,10.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0
Tarapaca,01,Huara,01404,3000.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,2.0,10.0,7.0,8.0,10.0,6.0,9.0,12.0,16.0,21.0,15.0,8.0,3.0,6.0,7.0,4.0,7.0,1.0,0.0
Tarapaca,01,Iquique,01101,223463.0,0,0.0,0.0,0.0,0.0,9.0,7.0,15.0,12.0,22.0,42.0,104.0,258.0,403.0,505.0,465.0,444.0,464.0,424.0,352.0,340.0,285.0,279.0,362.0,320.0,312.0,269.0,252.0,181.0,82.0,0.0
Tarapaca,01,Pica,01405,5958.0,0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,14.0,11.0,0.0,1.0,5.0,1.0,7.0,8.0,10.0,10.0,10.0,14.0,42.0,38.0,24.0,24.0,31.0,33.0,45.0,24.0,26.0,8.0,0.0
Tarapaca,01,Pozo Almonte,01401,17395.0,0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,3.0,5.0,17.0,39.0,58.0,92.0,106.0,64.0,36.0,75.0,55.0,47.0,43.0,128.0,61.0,41.0,40.0,40.0,18.0,0.0
Tarapaca,01,Desconocido Tarapaca,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,5.0,95.0,29.0,25.0,25.0,31.0,25.0,20.0,22.0,15.0,20.0,33.0,35.0,14.0,16.0,13.0,11.0,13.0,8.0,0.0
Tarapaca,01,Total,,382773.0,0.0,0.0,0.0,0.0,0.0,12.0,14.0,30.0,41.0,58.0,83.0,234.0,506.0,730.0,907.0,893.0,862.0,838.0,706.0,634.0,618.0,538.0,518.0,620.0,677.0,592.0,595.0,475.0,394.0,192.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antofagasta,02,Antofagasta,02101,425725.0,0,0.0,0.0,1.0,2.0,27.0,32.0,40.0,59.0,110.0,161.0,216.0,314.0,316.0,306.0,356.0,504.0,601.0,706.0,796.0,915.0,769.0,577.0,566.0,673.0,629.0,520.0,420.0,384.0,182.0,0.0
Antofagasta,02,Calama,02201,190336.0,0,0.0,1.0,0.0,2.0,3.0,3.0,9.0,18.0,17.0,40.0,54.0,92.0,235.0,287.0,448.0,815.0,997.0,923.0,745.0,659.0,458.0,342.0,264.0,202.0,192.0,170.0,136.0,127.0,77.0,0.0
Antofagasta,02,Maria Elena,02302,6814.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,9.0,16.0,45.0,43.0,30.0,13.0,12.0,11.0,7.0,41.0,29.0,27.0,7.0,14.0,8.0,12.0,7.0,1.0,2.0,3.0,5.0,0.0
Antofagasta,02,Mejillones,02102,14776.0,0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,15.0,17.0,30.0,76.0,46.0,51.0,19.0,19.0,10.0,17.0,39.0,50.0,25.0,16.0,10.0,22.0,24.0,9.0,22.0,15.0,13.0,6.0,0.0
